"id","k3","k4","k5"
"5242",1.72,10.96,2.78
"5243",1.56,1.38,3.46
"5244",0.94,2.42,3.96
"5245",2.3,3,1.64
"5246",2.26,0.74,5.52
"5247",0.72,5,5.26
"5248",0.68,1.8,1.36
"5249",1.94,4.34,5.86
"5250",9.16,0.7,2.18
"5251",0.82,6.44,3.16
"5252",2.9,1.3,4.46
"5253",1.86,11.6,4.2
"5254",7.08,3.5,6.52
"5255",3.8,4.42,6.7
"5256",1,6.98,2.4
"5257",3.38,5.34,9.38
"5258",3.14,2.54,3.4
"5259",1.42,8.68,3.18
"5260",1.9,0.96,7.58
"5261",1.14,9.88,3.5
"5262",1.78,0.92,4.7
"5263",4.28,4.14,1.56
"5264",5.32,2.88,2.78
"5265",6.7,2.52,1.64
"5266",2.06,2.46,8.22
"5267",2.44,5.28,1.38
"5268",1,4.2,4.84
"5269",2.48,2.14,3.92
"5270",5.86,3.54,3.48
"5271",4.54,1.12,0.46
"5272",4.04,5.58,3.42
"5273",3.72,10.82,3.56
"5274",1.7,2.54,5.04
"5275",1.18,3.8,2.88
"5276",0.36,4.22,4.8
"5277",3.18,8.78,2
"5278",1,2.62,7.04
"5279",2.64,7.08,10.46
"5280",0.66,8.6,5.42
"5281",0.84,2.28,6.32
"5282",3.08,0.9,4.16
"5283",2.36,4.48,2.78
"5284",3.02,1.26,5.96
"5285",3.38,5.48,8.64
"5286",3.86,5.3,3.9
"5287",3,7.64,3.02
"5288",2.98,4.38,4.56
"5289",1.54,3.26,2
"5290",3.7,3.8,2.7
"5291",3.56,7.38,5.28
"5292",3.08,2.2,7.36
"5293",2.98,6.34,4.9
"5294",3.6,3.06,4.28
"5295",2.98,6.88,6.36
"5296",2.82,0.92,4.04
"5297",2.6,2.12,1.48
"5298",1.56,1.6,7.16
"5299",1.82,3.68,4.38
"5300",2.1,2.68,9.76
"5301",3.66,3.96,1.34
"5302",1.38,2.74,2.48
"5303",1.46,1,3.16
"5304",2.94,4.22,2.9
"5305",7.64,1.7,4.88
"5306",5.06,3.14,4.36
"5307",1.7,4.76,2.94
"5308",5.4,4.38,2.78
"5309",14,1.6,4.54
"5310",4.34,3.18,6.18
"5311",3.12,6.92,6.14
"5312",5.48,1.44,6.72
"5313",1.98,3.14,4.36
"5314",0.36,1.66,1.28
"5315",2.28,0.98,2.02
"5316",3.24,2.34,2.52
"5317",2.12,1.7,3.64
"5318",1.34,3.66,4.74
"5319",3.06,2.88,5.18
"5320",3.14,1,1.16
"5321",1.88,1.88,4.2
"5322",2.48,1.98,8.68
"5323",3.9,2.78,2.04
"5324",2.84,3.16,5.9
"5325",3.7,2.12,10.76
"5326",2.64,1.5,4.18
"5327",1.16,2.46,2.68
"5328",8.76,3.32,10.46
"5329",0.42,3.56,4.5
"5330",6.12,0.38,2.36
"5331",5.8,4.72,7.18
"5332",0.2,4.1,5.72
"5333",1.8,5.24,1.3
"5334",1.46,1.8,4.74
"5335",5.46,3.86,6.08
"5336",0.96,2.06,4.12
"5337",1.34,3.22,2.7
"5338",3.3,1.82,5.78
"5339",1.9,7.56,1.64
"5340",3.92,2.64,3.94
"5341",1.14,1.2,0.66
"5342",2.66,9.78,4.58
"5343",3.08,2.78,3.4
"5344",5.22,3.7,2.92
"5345",1,2.12,6.94
"5346",1.32,7.34,6.04
"5347",1.94,4.94,6.58
"5348",5.18,1.32,7.08
"5349",1.82,3.32,4.34
"5350",0.7,4.82,5.26
"5351",4.88,4.68,6.14
"5352",2.52,1.94,3.24
"5353",3.8,8.62,1.42
"5354",0.9,3.2,5.66
"5355",4.72,1.44,2.14
"5356",1.88,3.98,7.14
"5357",0.76,4.66,2.2
"5358",4.1,2.3,3.64
"5359",0.58,0.84,2.4
"5360",7.32,4.68,1.66
"5361",3.96,3.5,3.82
"5362",0.52,2.42,9.4
"5363",1.56,6.78,1.88
"5364",3.38,2.82,1.98
"5365",1.74,1.82,0.36
"5366",5.86,11.02,2.18
"5367",3.74,7.52,9.38
"5368",2.92,3.82,3.84
"5369",8.62,2.98,0.34
"5370",2.9,1.22,7.9
"5371",0.5,2.22,6.86
"5372",1.88,1.7,2.94
"5373",1.74,2.6,7.96
"5374",2.84,3.82,0.78
"5375",0.58,2.3,9.38
"5376",7.3,4.18,6.86
"5377",3.9,4.54,4.74
"5378",0.26,3.26,7.52
"5379",0.36,3.74,6.72
"5380",3.08,1.08,3.76
"5381",1.08,7.08,5.7
"5382",0.3,2.32,4.92
"5383",1.18,2.64,3.94
"5384",4.06,1.4,2.86
"5385",3.92,2.76,9.76
"5386",0.76,4.62,2.5
"5387",1,1.02,2.16
"5388",1.58,9.62,4.36
"5389",0.74,3.42,7.16
"5390",3.58,3.2,4.72
"5391",2.08,4.1,2.62
"5392",3.7,8.54,3.34
"5393",3.08,3.04,3.22
"5394",2.7,3.92,3
"5395",7.7,0.68,3.74
"5396",1.4,2.6,7.04
"5397",3.34,3.66,2.52
"5398",3.32,5.12,1.58
"5399",1.8,0.78,2.62
"5400",0.22,7.8,5.92
"5401",2.98,2,1.74
"5402",1.2,1.44,5.6
"5403",6.76,5.72,5.44
"5404",5.46,3.58,4.36
"5405",2.8,1.56,9.26
"5406",5.48,2.04,3.64
"5407",2.16,5.48,2.72
"5408",3.48,2.36,4.54
"5409",0.84,4.92,4.62
"5410",1.08,1.92,3.06
"5411",1.74,3.88,2.78
"5412",2.62,1.18,5.42
"5413",2.26,4.06,4.46
"5414",5.1,5.88,3.4
"5415",0.6,1.42,6.4
"5416",3.48,2.18,5.36
"5417",2.6,1.82,2.98
"5418",6.22,2.26,5.92
"5419",4.08,4.48,1.16
"5420",1.86,1.92,2.06
"5421",2.38,2.12,5.66
"5422",0.52,1.74,2.58
"5423",4.34,2.82,11.26
"5424",7.18,0.98,0.92
"5425",7.14,3.1,5.1
"5426",5.4,1.58,3.6
"5427",1.32,12.3,5.46
"5428",1.7,4.7,2.52
"5429",1.5,5.28,3.5
"5430",1.2,3.58,8.36
"5431",4.14,0.86,5.42
"5432",2.22,6.06,5.02
"5433",1.58,2.2,2.96
"5434",1.74,3.58,3.28
"5435",3.22,3.74,1.02
"5436",2.76,2.54,6.58
"5437",1.02,2.94,5.48
"5438",0.9,2.8,1.52
"5439",2.46,1.74,1.26
"5440",5.68,2.2,1.64
"5441",2,1.42,6.04
"5442",8.4,2.6,6.58
"5443",2.18,5.72,5.6
"5444",2.28,2.38,4.7
"5445",1.62,7.38,7.96
"5446",2.52,3.78,7.52
"5447",1.06,3.08,2.64
"5448",0.22,5,2.86
"5449",4.22,6.48,2.08
"5450",3.24,3.46,2.64
"5451",0.36,2.3,9.46
"5452",2.36,3.66,3.82
"5453",1.72,8.44,6.58
"5454",1.8,5.06,3.94
"5455",1.5,3.9,5.42
"5456",0.84,4.46,3.96
"5457",2.7,1.88,5.86
"5458",1.32,4.44,8.7
"5459",0.7,3.98,7.48
"5460",1.56,1.62,3.44
"5461",2.28,3.36,1.94
"5462",1.44,2.02,5.32
"5463",1.82,4.84,7.4
"5464",5.3,1.66,4.8
"5465",1.34,2.44,11.74
"5466",4.46,5.52,2.68
"5467",2.5,2.46,3
"5468",2.02,2.98,3.34
"5469",1.16,5.56,7.04
"5470",3.24,4.02,5.82
"5471",3.68,3.34,5.48
"5472",2.4,3.88,2.9
"5473",0.76,1.04,1.66
"5474",3.82,3.56,0.62
"5475",1.32,2.6,5.92
"5476",4.08,3.68,4.38
"5477",3.74,1.04,2.56
"5478",3.56,5.82,7.14
"5479",0.36,5,3.02
"5480",2.32,6.7,6
"5481",1.5,2.86,16.86
"5482",2.14,2.3,8.62
"5483",4.62,9,1.66
"5484",1.4,6.9,3.38
"5485",3.56,2.92,10.98
"5486",5.02,7.8,3.54
"5487",6.46,5.98,6.06
"5488",3.66,2.6,3.22
"5489",2.28,1.16,0.84
"5490",8.56,14.22,6.58
"5491",4.28,8.78,3.58
"5492",1.74,7.06,1.98
"5493",2.18,0.58,5.52
"5494",1.84,6.7,2.08
"5495",3.14,6.66,2.94
"5496",1.9,2.3,5.8
"5497",1.32,2.26,2.16
"5498",3.94,2.62,4.2
"5499",4.1,4.82,15.7
"5500",2.8,2.66,0.52
"5501",1.46,1.48,5.34
"5502",3.7,2.3,3.74
"5503",1.68,9.1,8.16
"5504",0.66,4,5.8
"5505",4.46,4.58,2.2
"5506",3.48,6.74,1.84
"5507",1.88,5.58,8.62
"5508",0.54,4.6,4.92
"5509",0.5,2.2,3.8
"5510",2.68,2.72,0.7
"5511",5.52,3.44,7.78
"5512",0.76,7.32,6.1
"5513",2.04,2.6,1.24
"5514",5.08,7,4.62
"5515",3.38,9.02,3.32
"5516",2.4,0.86,6.4
"5517",6.12,3,6.56
"5518",2.98,2,2.16
"5519",2.86,3.36,8.9
"5520",0.76,3.44,3.16
"5521",11,2.62,1.84
"5522",2.92,3.46,5.78
"5523",2.68,1.8,4.42
"5524",2.1,5.38,5.2
"5525",3.3,4.04,3.64
"5526",4.42,4.76,4.32
"5527",2.62,4.12,6.04
"5528",2.12,1.82,6.52
"5529",0.68,7.78,3.58
"5530",0.72,1.5,4.04
"5531",2.2,2.52,5.76
"5532",2.32,7.04,11.86
"5533",2.26,7.4,4.92
"5534",2.28,2.8,5.78
"5535",5.34,1.32,1.74
"5536",1.88,1.82,4.72
"5537",0.78,1,4.88
"5538",1.74,0.58,5.54
"5539",1.74,2.38,2.92
"5540",7.8,5.94,2.7
"5541",4.62,3.56,4.64
"5542",5.16,2.68,10.26
"5543",3.4,3.38,4.08
"5544",1.82,3.32,0.7
"5545",2.46,1.02,8.02
"5546",5.32,5.42,3.12
"5547",2.52,1.9,2.62
"5548",3.72,6.5,3.2
"5549",2.34,1.5,6.42
"5550",1.48,0.84,14.44
"5551",4.78,3.3,12.64
"5552",4.7,7.04,2.74
"5553",2.36,4.28,8.68
"5554",3.66,5.1,3.44
"5555",4.24,2.14,2.16
"5556",7.12,2.62,6.46
"5557",3.28,2.64,3.04
"5558",1.16,9,5.52
"5559",2.44,1.76,3.1
"5560",2.58,1.32,6.38
"5561",2.14,1.42,3.38
"5562",3.08,2.78,5.78
"5563",3.68,0.8,2.04
"5564",0.72,3.08,2.42
"5565",0.98,2.12,5.3
"5566",3.4,1.8,2.94
"5567",1.3,2.98,4.32
"5568",3.74,3.26,3.14
"5569",5.8,1.44,2.26
"5570",1.32,2.76,7.1
"5571",2.22,10.08,4.18
"5572",1.48,1.88,5.28
"5573",7.12,5.36,6.58
"5574",0.66,6.16,6.08
"5575",1.48,3.32,0.88
"5576",2.28,5,7.12
"5577",7.18,2.6,3.58
"5578",1.98,6.26,3.36
"5579",2.7,0.74,5.84
"5580",1.02,2.76,5.7
"5581",3.58,2.76,5.7
"5582",5.1,1.8,5
"5583",1.26,2.38,1.62
"5584",8.78,5.32,3.84
"5585",6.86,8.04,5.58
"5586",2.46,3.18,4.32
"5587",5.24,0.52,0.48
"5588",0.42,1.48,3.42
"5589",4.46,1.4,5.24
"5590",4.74,5.26,3.74
"5591",1.42,6.3,1.9
"5592",4.76,7.18,2.4
"5593",1.8,2.36,4.98
"5594",1.42,2.72,5.98
"5595",2.02,4.68,5.46
"5596",2.08,8.34,7.64
"5597",0.14,7.02,2.36
"5598",0.52,2.48,1.88
"5599",2.2,4.12,3.58
"5600",0.58,4.98,5.4
"5601",2.44,6.38,2.34
"5602",0.78,3.46,5.72
"5603",1.86,0.54,2.68
"5604",5.4,4.92,6.16
"5605",1.24,3.62,0.22
"5606",0.44,0.38,3.66
"5607",3.08,3.16,2.7
"5608",2.9,3.42,1.6
"5609",0.9,5.66,2.62
"5610",1,1.74,8.02
"5611",1.24,5.3,1.82
"5612",2.66,2.5,1.4
"5613",7.86,6.18,5.18
"5614",4.18,7.7,1.58
"5615",3.86,2.16,4.14
"5616",1.68,5.4,5.94
"5617",1.02,2.3,8.9
"5618",2.82,6.54,6.06
"5619",2.58,4.22,2.22
"5620",0.26,2.36,4.7
"5621",3.3,5.54,1.54
"5622",0.94,3.2,10.6
"5623",0.84,5.2,5.34
"5624",3.48,4.68,1.74
"5625",3.58,2.6,3.96
"5626",1.04,3.8,1.36
"5627",8.2,3.38,4.3
"5628",4.2,3.78,2.24
"5629",4.5,2.36,0.56
"5630",2.84,6.4,4.7
"5631",5.24,1.46,4
"5632",1.74,1.58,5.68
"5633",2.14,1.4,4.78
"5634",3.22,2.96,3.12
"5635",6.8,2.6,5.8
"5636",3.36,6.98,2.6
"5637",1.42,3.66,4.1
"5638",2.78,2.9,3.38
"5639",8.26,1.22,1.88
"5640",2.64,3.32,1.2
"5641",3.88,2,3.72
"5642",4.44,5.24,1.98
"5643",3.24,12.12,8.66
"5644",3.74,3.94,2.12
"5645",3,3.08,1.3
"5646",1.94,6.72,6.68
"5647",3.42,4.36,7.6
"5648",0.28,3.24,10.18
"5649",1,4.62,9.12
"5650",2.04,3.1,4.22
"5651",1.64,0.24,1.34
"5652",1.1,14.98,4.62
"5653",2.36,3.34,2.58
"5654",6.34,1.72,3.8
"5655",6.82,4.66,1.9
"5656",6.82,4.06,10.12
"5657",3.08,3.02,8.78
"5658",1.98,4.38,3.18
"5659",3.22,1.64,2.98
"5660",2.46,4.58,2.78
"5661",2.84,2.58,10.1
"5662",5.04,6.9,5.28
"5663",6.66,4.52,5.4
"5664",1.08,4.58,2.64
"5665",2.04,1.46,4.34
"5666",2.3,3.14,3.92
"5667",1.7,5.02,9.16
"5668",4.74,4.36,4.92
"5669",2.7,2.86,10.34
"5670",0.4,5.82,2.14
"5671",1.38,1.8,4.1
"5672",1.42,9.98,6.88
"5673",2.2,6.16,4.34
"5674",1.14,8.78,3
"5675",3.48,3.86,4.62
"5676",0.52,2.66,2.76
"5677",6.76,1.46,5.16
"5678",7.38,2.16,2.78
"5679",2.88,2.34,0.76
"5680",2.3,2.16,1.82
"5681",1.56,1,4.52
"5682",11.32,7.24,1.76
"5683",3.96,5.26,1.5
"5684",1.86,2.04,6.02
"5685",1.86,1.02,4.68
"5686",2.5,0.78,2.3
"5687",2.28,1.84,6.28
"5688",3.46,1.88,4.54
"5689",0.36,1.96,4.36
"5690",7.98,3.02,4.66
"5691",2.26,2.22,2.32
"5692",2.78,4.14,6.7
"5693",1.86,9.18,3.8
"5694",0.66,1.28,10.22
"5695",4.08,4.52,6.74
"5696",3.88,2.78,5.84
"5697",2.9,1.9,1.28
"5698",1.68,7.14,2.46
"5699",1.24,1.38,2.74
"5700",3.8,1.84,8.34
"5701",3.6,8.68,5.9
"5702",3,11.72,4.16
"5703",4.02,2.82,1.7
"5704",5.96,1.5,0.68
"5705",1.02,2.8,10.6
"5706",8.02,5.34,5.04
"5707",1.78,0.46,2.74
"5708",2.62,2.5,5.02
"5709",2.34,7.28,2.06
"5710",1.48,3.88,2
"5711",0.86,3.72,3.86
"5712",2.36,3.24,2.74
"5713",2.66,2.22,8.32
"5714",2.42,2.04,8.1
"5715",2.26,6.26,8.64
"5716",2.04,2.6,4.64
"5717",9.7,2.4,8.82
"5718",0.6,1.88,4.16
"5719",4.2,4.42,7.1
"5720",4.02,9.28,0.94
"5721",7.46,1.4,4.34
"5722",12.22,8.76,1.66
"5723",3.72,2.02,6.34
"5724",1.72,5.8,3.62
"5725",2.66,2.4,9.86
"5726",0.6,6,6.28
"5727",3.02,3.16,1.8
"5728",1.98,4.64,2.54
"5729",2.66,3.88,4.7
"5730",3.12,3.78,1.56
"5731",2.08,0.7,5
"5732",4.46,6.42,3.66
"5733",3.08,2.82,2.02
"5734",3,2.2,4.14
"5735",2.52,3.74,6.08
"5736",4.2,10.52,5.56
"5737",0.82,6.8,2.52
"5738",1.04,10.64,3.84
"5739",1.42,4.6,12.3
"5740",0.8,1.72,2.76
"5741",7,6.78,2.3
"5742",5.4,3.8,4.14
"5743",6.44,3.8,1.94
"5744",1.94,4.1,2.28
"5745",4.36,5.12,3.02
"5746",1.76,0.96,3.72
"5747",1.78,4.62,0.86
"5748",1.34,5.14,1.66
"5749",1.5,7.94,4.44
"5750",4.02,4.84,5.26
"5751",7.74,7.36,4.98
"5752",3.08,1.94,6.98
"5753",3.1,3.62,1.34
"5754",4.36,2.54,1.36
"5755",3.26,7.1,2.06
"5756",4.32,2.78,7.16
"5757",11.24,4.06,0.88
"5758",1.78,2.12,3.9
"5759",0.68,2.06,7.12
"5760",5.3,3.42,4.78
"5761",4.52,5.78,6.36
"5762",2.46,3.52,3.02
"5763",4.38,4.3,8.56
"5764",5.52,1.16,5.26
"5765",1.64,5.16,3.1
"5766",0.62,1.9,1.96
"5767",2.74,0.7,1.76
"5768",1.48,1.56,1.64
"5769",1.78,7.04,3.24
"5770",3.34,6.92,0.86
"5771",6.68,4.76,12.82
"5772",3.06,5.6,2.88
"5773",4.44,5.1,10.36
"5774",2.6,1.42,2.66
"5775",4.42,2.4,3.34
"5776",1.72,5.72,2.56
"5777",1.5,2.98,3.86
"5778",2.66,7.04,8.6
"5779",10.68,1.38,10.52
"5780",1.5,2.86,3.58
"5781",1.06,1.78,5.42
"5782",1.14,6,2.36
"5783",1.24,2.94,5.82
"5784",4.1,4.62,5.58
"5785",3.74,0.68,5.98
"5786",2.76,5.16,4.76
"5787",2.6,7.16,2.58
"5788",2.52,4.7,4.38
"5789",2.62,2.28,6.52
"5790",6.66,5.88,7.1
"5791",5.56,2.46,4.94
"5792",1.24,3.56,4.8
"5793",1.36,0.38,6.28
"5794",2.28,1.12,1.92
"5795",1.76,2.28,8.36
"5796",1.5,4.96,5
"5797",1.18,1.92,5.5
"5798",4,1.98,3.88
"5799",1.7,3.06,5.94
"5800",1.18,2.9,5.56
"5801",3.36,4.74,3.72
"5802",0.32,5.5,0.96
"5803",0.7,5.58,2.42
"5804",0.42,1.08,3.88
"5805",1.46,2.48,5.34
"5806",4.72,2.36,2.28
"5807",0.76,3.98,2.3
"5808",2.34,4.62,3.88
"5809",2.42,4.88,6.16
"5810",1.64,1.16,1.58
"5811",1.52,1.76,5.02
"5812",2.7,5.7,5.96
"5813",4.2,1.24,2.28
"5814",0.92,0.36,4.46
"5815",2.5,4.22,3.56
"5816",2.76,2.86,3.66
"5817",1.42,5.1,3.42
"5818",4.32,0.1,6.98
"5819",3.24,1.22,1.28
"5820",1.36,2.92,3.24
"5821",7.56,2.4,2.68
"5822",1,3.14,7.32
"5823",4.78,5.54,5.16
"5824",0.94,1.58,5
"5825",2.76,2.6,6.32
"5826",1.56,7.92,3.74
"5827",7.44,1.56,1.88
"5828",1.06,0.92,3.18
"5829",3.96,3.92,2.24
"5830",3.62,2.6,2.7
"5831",4.28,2.66,4.7
"5832",7.76,1.96,1.56
"5833",3,4.68,3.1
"5834",1.24,3.4,8
"5835",2.48,2.82,7.02
"5836",2.96,8.42,4.5
"5837",1.56,5.26,2.98
"5838",2.04,4.7,7
"5839",2.38,2,2.88
"5840",1.58,1.12,2.34
"5841",3,3.76,6.78
"5842",8.46,0.52,2.06
"5843",7.44,3.64,6.98
"5844",1.78,1.04,4.22
"5845",0.62,1.56,3.28
"5846",5.7,2.12,7.08
"5847",0.88,2.5,2.5
"5848",7.12,5.36,2.94
"5849",1.62,2.12,2.4
"5850",0.84,3.3,0.68
"5851",10.12,2.38,3.5
"5852",1.4,6.96,2.96
"5853",6.3,7.28,7.08
"5854",1.32,14.2,2.26
"5855",1.62,3.76,4.26
"5856",2.52,7.62,9.66
"5857",7.54,5.4,10.16
"5858",3.3,2.06,1.3
"5859",7.28,1.48,6.22
"5860",2.84,2.08,3.58
"5861",2.6,3.78,9.4
"5862",2.92,4.6,0.96
"5863",0.9,0.9,6.9
"5864",1.06,4.3,5.56
"5865",2.46,3.08,4.22
"5866",2.36,9.26,6.92
"5867",1.94,2.14,2.84
"5868",3.8,5.9,2.5
"5869",3.8,1.68,2.72
"5870",1.8,3.14,3.12
"5871",2.46,3.2,4.7
"5872",3.42,1.9,4.62
"5873",1.98,3.36,4.28
"5874",1.98,4.14,3.12
"5875",6.62,4.9,3.68
"5876",1.46,3.38,4.3
"5877",4.6,3.26,4.46
"5878",1.88,8.86,3.32
"5879",1.94,2.2,6.44
"5880",2.68,1.1,1.72
"5881",3.6,3.98,2.1
"5882",3.76,5.72,0.74
"5883",0.78,3.4,4.42
"5884",0.6,2.46,3.82
"5885",1.88,7,1.42
"5886",6.34,1.44,4.54
"5887",0.28,4.76,6
"5888",7.1,8.1,4.6
"5889",5.68,8.78,5.76
"5890",4.04,11.64,6.1
"5891",2.26,2.52,5.1
"5892",7.08,3.02,5.9
"5893",1.08,3.06,6.08
"5894",1.08,2.76,3.4
"5895",0.98,3.02,5.38
"5896",4.04,3.9,2.02
"5897",1.08,3.78,1.24
"5898",0.84,5.6,2.86
"5899",1.74,3.12,5.62
"5900",7.56,6.54,9.22
"5901",3.18,2.76,1.9
"5902",5.2,4.62,4.14
"5903",1.82,4.46,4.18
"5904",2.84,5.96,4.96
"5905",3.24,3.56,6.06
"5906",3.78,2.62,5.34
"5907",4.82,2.38,5.42
"5908",2.6,0.52,4.08
"5909",2.18,0.76,6.82
"5910",5.18,4.28,6.76
"5911",3.1,2.42,7.5
"5912",6.12,6.92,3.78
"5913",6.48,2.78,4.46
"5914",2.54,4.12,3.08
"5915",4.18,11.26,2.86
"5916",8.6,3.26,10.08
"5917",0.86,5.06,1.96
"5918",1.46,0.96,3.7
"5919",1.64,0.5,1.34
"5920",0.22,2.1,4.36
"5921",7.18,2.78,1.16
"5922",7.16,3.02,4.62
"5923",3.5,1.72,5.24
"5924",1.88,1.74,3.64
"5925",1.44,5.02,2.26
"5926",2.7,1.44,2.08
"5927",2.52,0.6,4.6
"5928",2,3.02,6.94
"5929",3.98,2.84,3.64
"5930",1.54,3.74,4.06
"5931",1.86,4.1,1.68
"5932",0.74,1.82,4.66
"5933",0.24,2.34,0.86
"5934",1.56,6.44,1.98
"5935",3,1.58,1.84
"5936",1.46,0.92,3.84
"5937",1.7,2.06,2.26
"5938",2.44,4.22,13.42
"5939",4.08,0.34,7.72
"5940",2.66,2.46,9.78
"5941",4.82,0.24,3.32
"5942",3.14,3.32,3.24
"5943",9.78,5.46,3.62
"5944",1.08,12.94,5.02
"5945",1.96,1.56,0.28
"5946",6.26,2.56,2.14
"5947",4.88,2.62,2.14
"5948",4.88,1.94,4.42
"5949",5.88,1.4,3.42
"5950",2.86,1.62,2.16
"5951",1.96,3.46,9.72
"5952",1.7,1.64,7.4
"5953",1.1,3.5,4.96
"5954",1.26,0.92,2.8
"5955",2.58,2.06,4.56
"5956",1.2,1.6,3.32
"5957",2.12,3.96,1.64
"5958",6.02,4.28,13.46
"5959",1.14,2.98,4.5
"5960",1.56,6.78,7.08
"5961",2.28,2.6,3.44
"5962",5.64,2.7,3.18
"5963",1.86,2.78,2.94
"5964",6.06,3.32,0.88
"5965",1.02,4.74,4.04
"5966",3,6.86,9.28
"5967",5.4,0.56,6.16
"5968",4.24,1.96,8.2
"5969",1.06,0.78,5.8
"5970",5.94,1.08,3.5
"5971",2.64,1.66,2.3
"5972",0.5,2,9.18
"5973",4.04,4.3,6.56
"5974",5.96,2.38,9.74
"5975",0.94,1.08,8.38
"5976",3.06,4.06,5.44
"5977",0.68,2.18,2.48
"5978",1.32,8.36,2.76
"5979",1.86,1.64,1.56
"5980",8.18,4.06,1.84
"5981",0.92,2.3,4.82
"5982",2.74,6.14,5.42
"5983",1.08,3.3,4.3
"5984",3.08,2.92,3.42
"5985",3.24,1.7,3.74
"5986",0.84,4.7,3.42
"5987",0.74,4.9,3.56
"5988",3.06,2.18,1.84
"5989",4.08,0.98,5.56
"5990",4.18,8.62,2.76
"5991",3.24,3.24,3.82
"5992",1.62,3.8,6.06
"5993",1.4,4.1,3.42
"5994",2.78,7.96,5.34
"5995",2.62,4.9,9.32
"5996",6.28,3.9,2.24
"5997",2.98,5.86,5.3
"5998",1.32,1.38,2.8
"5999",1.2,2.98,12
"6000",3.9,0.26,6.94
"6001",0.52,1.02,5.24
"6002",1.96,0.92,2.48
"6003",0.74,10.84,3.54
"6004",1.26,4.84,1.02
"6005",4.76,4.14,3.66
"6006",1.1,2.18,3.68
"6007",1.6,5.08,5.7
"6008",1.12,2.7,2.46
"6009",1.06,3.38,2.3
"6010",3.7,6.5,3.58
"6011",2.22,2.78,1.74
"6012",1.66,4.14,1.1
"6013",6.68,1.84,2.88
"6014",1.2,3.8,4.92
"6015",3.96,3.76,1.7
"6016",2.02,6.92,4.14
"6017",3.72,3.88,8.08
"6018",3.46,6.64,2.06
"6019",0.36,3.16,3.52
"6020",3.48,2.18,2.36
"6021",1.08,2.86,3.4
"6022",2.8,5.48,3.82
"6023",8.7,2.96,6.14
"6024",2.78,1.56,5.96
"6025",1.1,0.48,1.72
"6026",0.4,1.52,4.76
"6027",3.76,4.94,2.44
"6028",2.1,3.8,5.54
"6029",2.16,2.18,4.8
"6030",2.76,4.44,4.66
"6031",2.26,2.6,7.36
"6032",4.58,3,8.28
"6033",2.62,3.02,11.76
"6034",2.28,3.72,12.3
"6035",2.52,2.48,1.1
"6036",9.36,7.4,4.16
"6037",1.04,3.42,1.54
"6038",0.78,7.08,3.04
"6039",2.5,0.78,2.44
"6040",0.86,2.58,5.54
"6041",5.38,3.12,6.22
"6042",1.3,5.26,5.02
"6043",0.42,2.48,3.82
"6044",1.54,2.28,3.22
"6045",4.04,3.18,4.34
"6046",3.3,7.88,2.08
"6047",1.7,1.66,2.54
"6048",1.84,3.92,2.54
"6049",1.94,5.8,4.28
"6050",5.02,4.76,4.32
"6051",5.78,0.52,4.54
"6052",0.3,4.66,4.8
"6053",1.94,3,2.6
"6054",4.72,6.42,6.36
"6055",0.8,5.96,2.04
"6056",5.16,1.66,9.34
"6057",2.58,4.14,1.82
"6058",0.56,5.08,0.62
"6059",3.98,0.68,2.46
"6060",2.68,4.86,3.36
"6061",4.92,0.66,4.96
"6062",1.82,3.02,3.92
"6063",4.14,5.62,5.44
"6064",2.92,4.34,6.24
"6065",1.64,4.34,2.5
"6066",0.4,3.8,2.84
"6067",1.38,5.4,2.3
"6068",1.8,6.04,0.72
"6069",3.46,5.8,3.74
"6070",1,2.02,1.82
"6071",0.74,2.04,7.18
"6072",4.9,2.2,4.64
"6073",3.12,7.4,2.88
"6074",3.32,4.88,3.54
"6075",1.86,2.78,3.2
"6076",2.38,6.86,4.48
"6077",4.46,2.94,2.74
"6078",3,0.78,7.5
"6079",6.04,2.12,2.78
"6080",1.98,4.22,1.58
"6081",1.08,3.14,6.12
"6082",9.02,7.18,4.78
"6083",2.14,5.14,6.44
"6084",0.56,3.2,3.16
"6085",1.78,5,2.62
"6086",5.9,5.1,8.78
"6087",9.64,12.22,6.62
"6088",3.08,0.28,3.04
"6089",2.1,5.56,2.58
"6090",3.32,6.36,8.16
"6091",4.92,3.06,3.44
"6092",0.36,1,3.7
"6093",6.14,3.42,3.38
"6094",5.88,2.48,2.56
"6095",1.72,4.32,2.48
"6096",0.94,1.94,4.66
"6097",0.2,2.52,9.72
"6098",0.04,4.4,1.58
"6099",0.3,0.7,4.64
"6100",1.38,1.6,1.02
"6101",1.6,12.2,6.4
"6102",1.54,1.34,10.44
"6103",0.72,1.88,3.26
"6104",1.58,3.22,6.3
"6105",0.78,3.08,4.84
"6106",7.5,3.02,1.88
"6107",1.36,4.26,7.16
"6108",7.32,7,1.66
"6109",4.4,2.54,0.4
"6110",3.48,2.4,6.2
"6111",8.42,2.4,1.3
"6112",1.86,2.22,3.32
"6113",2.62,3.32,4.8
"6114",2.76,3.34,1.74
"6115",3.9,4.94,5.42
"6116",1.28,6.5,3.9
"6117",3.02,1.34,6.28
"6118",13.52,4.2,2.6
"6119",2.16,14.18,2.54
"6120",2.3,8.38,4.94
"6121",5.74,5.7,8.4
"6122",2.6,4.6,3.84
"6123",0.94,3.46,1.98
